,Wall Height,Sec1,Sec4,Sec5,Sec11,Sec12,Sec13,Sec15,Sec16,Sec17
0,0,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48
1,0.05,3.48,3.48,3.48,3.48,3.309253481,3.48,3.48,3.48,3.48
2,0.1,3.47560435,3.48,3.48,3.48,3.230714111,3.48,3.48,3.48,3.48
3,0.15,3.419152328,3.48,3.48,3.48,3.144789148,3.48,3.48,3.48,3.48
4,0.2,3.342337326,3.48,3.48,3.48,3.051424293,3.48,3.48,3.48,3.48
5,0.25,3.244993372,3.48,3.48,3.48,2.983158221,3.48,3.448785816,3.48,3.48
6,0.3,3.128186052,3.48,3.48,3.48,2.93678811,3.442978667,3.37611636,3.48,3.48
7,0.35,2.998754791,3.48,3.48,3.48,2.875651205,3.351171627,3.296551442,3.48,3.48
8,0.4,2.953305642,3.48,3.466360725,3.48,2.799848594,3.23243616,3.210543414,3.48,3.48
9,0.45,2.869139992,3.48,3.357940112,3.48,2.749493379,3.089728503,3.119399401,3.48,3.48
10,0.5,2.750331863,3.48,3.230213597,3.48,2.728795277,2.975547594,3.023656334,3.48,3.48
11,0.55,2.725279859,3.48,3.084892012,3.48,2.682946957,2.882929441,2.949341925,3.48,3.48
12,0.6,2.630395511,3.48,2.956094958,3.48,2.614484716,2.749875626,2.878103407,3.48,3.48
13,0.65,2.489242273,3.48,2.837776094,3.48,2.525083171,2.700489148,2.803917181,3.48,3.48
14,0.7,2.366040268,3.48,2.723507491,3.48,2.544171552,2.569150944,2.73726095,3.48,3.48
15,0.75,2.134208961,3.48,2.620949989,3.48,2.556877202,2.542403517,2.689556243,3.48,3.48
16,0.8,1.823882226,3.443746625,2.497166019,3.48,2.52051782,2.488107824,2.640246997,3.48,3.48
17,0.85,1.252070288,3.282549336,2.431247612,3.48,2.439285577,2.311768523,2.593181833,3.48,3.48
18,0.9,0.774846225,3.120510728,2.291711553,3.48,2.319027789,2.098852928,2.548200885,3.48,3.48
19,0.95,0.487604731,2.963278524,2.27188272,3.48,2.30101392,1.803613285,2.502454158,3.48,3.48
20,1,0.292330264,2.822532522,2.180540363,3.48,2.310789212,1.495165722,2.480043605,3.48,3.48
21,1.05,0.150970467,2.688854308,1.970468158,3.48,2.2132023,1.112569281,2.456799139,3.48,3.48
22,1.1,0.062734779,2.558649251,1.739879919,3.48,2.023711939,0.689767571,2.431710032,3.48,3.398510742
23,1.15,0,2.440808631,1.392661031,3.48,1.774938777,0.288172421,2.405004975,3.48,3.274317472
24,1.2,0,2.324360963,0.970143214,3.48,1.481886643,0,2.377538162,3.48,3.147913576
25,1.25,0,2.216195625,0.555400762,3.48,1.454763443,0,2.350303886,3.48,3.019280816
26,1.3,0,2.11762905,0.244085271,3.48,0.748198392,0,2.324466253,3.48,2.910601438
27,1.35,0,1.994540095,0.020631112,3.48,0.47532006,0,2.30142546,3.48,2.801396482
28,1.4,0,1.852238708,0,3.48,0.253879471,0,2.283115732,3.48,2.703234852
29,1.45,0,1.70299465,0,3.48,0,0,2.271025826,3.427329219,2.613065001
30,1.5,0,1.734880467,0,3.48,0,0,2.263056098,3.277294522,2.51900216
31,1.55,0,1.651694108,0,3.48,0,0,2.257133702,3.113199901,2.442727435
32,1.6,0,1.532517668,0,3.48,0,0,2.253919468,2.955876032,2.364880012
33,1.65,0,1.292587413,0,3.48,0,0,2.25377177,2.817841124,2.282013973
34,1.7,0,1.004646401,0,3.48,0,0,2.25377177,2.691788262,2.212149524
35,1.75,0,0.738651029,0,3.48,0,0,2.25377177,2.571126896,2.14395941
36,1.8,0,0.503323104,0,3.48,0,0,2.25377177,2.45607541,2.064677634
37,1.85,0,0.318792098,0,3.48,0,0,2.25377177,2.34490146,1.973821967
38,1.9,0,0.189769183,0,3.48,0,0,2.25377177,2.225166935,1.870916958
39,1.95,0,0.107478281,0,3.48,0,0,2.25377177,2.112449274,1.632687591
40,2,0,0.053771674,0,3.48,0,0,2.25377177,1.978819203,1.393577449
41,2.05,0,0.010627837,0,3.48,0,0,2.25377177,1.822913066,1.15983446
42,2.1,0,0,0,3.48,0,0,2.25377177,1.664024775,0.941830458
43,2.15,0,0,0,3.48,0,0,2.25377177,1.471629223,0.743333021
44,2.2,0,0,0,3.48,0,0,2.25377177,1.191823537,0.578750205
45,2.25,0,0,0,3.48,0,0,2.25377177,0.895257224,0.422824158
46,2.3,0,0,0,3.48,0,0,2.25377177,0.682118143,0.296762427
47,2.35,0,0,0,3.48,0,0,2.25377177,0.533288086,0.204175885
48,2.4,0,0,0,3.48,0,0,2.25377177,0.485827264,0.121102906
49,2.45,0,0,0,3.48,0,0,2.25377177,0.29397131,0.04334054
50,2.5,0,0,0,3.48,0,0,2.25377177,0,0
51,2.55,0,0,0,3.48,0,0,2.25377177,0,0
52,2.6,0,0,0,3.48,0,0,2.25377177,0,0
53,2.65,0,0,0,3.48,0,0,2.25377177,0,0
54,2.7,0,0,0,3.48,0,0,2.25377177,0,0
55,2.75,0,0,0,3.48,0,0,2.25377177,0,0
56,2.8,0,0,0,3.48,0,0,2.25377177,0,0
57,2.85,0,0,0,3.48,0,0,2.25377177,0,0
58,2.9,0,0,0,3.48,0,0,2.25377177,0,0
59,2.95,0,0,0,3.48,0,0,2.25377177,0,0
60,3,0,0,0,3.48,0,0,2.25377177,0,0
