,0
0,80
1,80
2,50
3,100
4,50
5,60
6,100
7,70
8,70
9,80
10,90
11,50
12,40
13,130
14,100
15,50
16,70
17,50
18,90
19,70
20,60
21,110
22,90
23,60
24,90
25,90
26,70
27,60
28,110
29,130
30,70
31,50
32,50
33,100
34,70
35,50
36,90
37,70
38,90
39,70
40,70
41,90
42,80
43,80
44,90
45,90
46,90
47,70
48,90
49,70
50,110
51,60
52,80
53,110
54,90
55,90
56,70
57,60
58,90
59,90
60,90
61,80
62,90
63,70
64,70
65,60
66,50
67,70
68,50
69,90
70,90
71,50
72,70
73,60
74,90
75,90
76,90
77,90
78,70
79,60
80,50
81,50
82,60
83,70
84,60
85,70
86,50
87,70
88,50
89,50
90,60
91,90
92,60
93,70
94,90
95,90
96,90
97,70
98,70
99,90
100,120
101,60
102,70
103,90
104,90
105,70
106,50
107,90
108,90
109,40
110,110
111,90
112,70
113,90
114,90
115,90
116,90
117,70
118,60
119,70
120,100
121,90
122,60
123,50
124,90
125,70
126,90
127,60
128,110
129,80
130,100
131,70
132,70
133,90
134,90
135,70
136,50
137,50
138,100
139,100
140,90
141,70
142,70
143,70
144,50
145,90
146,70
147,70
148,70
149,40
150,100
151,70
152,50
153,100
154,50
155,70
156,80
157,50
158,50
159,80
160,90
161,70
162,70
163,100
164,50
165,90
166,70
167,80
168,100
169,50
170,90
171,100
172,60
173,70
174,70
175,100
176,50
177,50
178,50
179,50
180,40
181,70
182,80
183,90
184,90
185,90
186,120
187,70
188,70
189,100
190,90
191,60
192,70
193,100
194,90
195,110
196,50
197,50
198,70
199,90
200,40
201,130
202,80
203,90
204,80
205,70
206,80
207,120
208,70
209,80
210,60
211,50
212,80
213,40
214,70
215,90
216,90
217,60
218,70
219,110
220,50
221,50
222,70
223,120
224,80
225,110
226,110
227,70
228,70
229,100
230,80
231,90
232,80
233,90
234,50
235,80
236,70
237,70
238,80
239,60
240,85
241,85
242,85
243,75
244,130
245,105
246,100
247,85
248,85
249,105
250,45
251,60
252,60
253,50
254,35
255,85
256,50
257,105
258,110
259,90
260,85
261,70
262,50
263,60
264,75
265,75
266,90
267,70
268,70
269,70
270,50
271,70
272,50
273,110
274,110
275,50
276,70
277,95
278,50
279,85
280,70
281,65
282,70
283,90
284,70
285,95
286,50
287,60
288,50
289,50
290,50
291,105
292,80
293,80
294,65
295,110
296,85
297,85
298,85
299,45
300,55
301,75
302,50
303,45
304,65
305,85
306,50
307,85
308,50
309,85
310,80
311,45
312,65
313,85
314,105
315,100
316,85
317,105
318,85
319,85
320,105
321,115
322,50
323,60
324,35
325,50
326,100
327,105
328,105
329,115
330,95
331,50
332,95
333,50
334,35
335,90
336,35
337,85
338,100
339,85
340,110
341,85
342,85
343,50
344,85
345,75
346,60
347,40
348,70
349,55
350,70
351,75
352,70
353,95
354,50
355,50
356,115
357,45
358,60
359,40
360,50
361,35
362,85
363,130
364,90
365,105
366,50
367,40
368,40
369,95
370,55
371,125
372,105
373,85
374,45
375,60
376,40
377,45
378,35
379,60
380,70
381,80
382,45
383,70
384,90
385,70
386,50
387,45
388,60
389,50
390,70
391,50
392,70
393,85
394,90
395,60
396,70
397,105
398,80
399,85
400,50
401,95
402,85
403,60
404,50
405,70
406,70
407,75
408,70
409,70
410,45
411,45
412,50
413,50
414,45
415,105
416,45
417,45
418,90
419,60
420,115
421,80
422,105
423,60
424,105
425,45
426,45
427,70
428,55
429,40
430,45
431,45
432,40
433,85
434,65
435,70
436,50
437,45
438,105
439,60
440,95
441,90
442,35
443,40
444,85
445,45
446,100
447,40
448,105
449,45
450,45
451,105
452,50
453,105
454,90
455,40
456,40
457,95
458,85
459,130
460,50
461,70
462,85
463,85
464,55
465,45
466,60
467,45
468,45
469,80
470,80
471,85
472,100
473,65
474,40
475,60
476,75
477,65
478,65
479,60
480,65
481,125
482,105
483,85
484,50
485,125
486,50
487,105
488,90
489,100
490,50
491,115
492,95
493,70
494,45
495,75
496,105
497,50
498,105
499,95
500,60
501,45
502,60
503,105
504,130
505,105
506,90
507,65
508,60
509,95
510,40
511,55
512,85
513,130
514,40
515,60
516,95
517,85
518,75
519,40
520,75
521,80
522,70
523,110
524,80
525,70
