Year,Warm,Cold
2020,1.0,4.0
2021,1.0,5.0
2022,1.0,2.0
2023,2.0,3.0
2024,1.0,5.0
2025,3.0,3.0
2026,3.0,7.0
2027,2.0,7.0
2028,3.0,6.0
2029,2.0,7.0
2030,3.0,3.0
2031,2.0,4.0
2032,2.0,4.0
2033,4.0,3.0
2034,1.0,2.0
2035,1.0,5.0
2036,2.0,3.0
2037,3.0,4.0
2038,4.0,2.0
2039,0.0,4.0
2040,3.0,2.0
2041,1.0,8.0
2042,0.0,3.0
2043,3.0,6.0
2044,0.0,5.0
2045,0.0,1.0
2046,1.0,6.0
2047,2.0,2.0
2048,3.0,5.0
2049,1.0,6.0
2050,1.0,2.0
2051,0.0,7.0
2052,2.0,3.0
2053,2.0,1.0
2054,4.0,4.0
2055,1.0,3.0
2056,1.0,3.0
2057,2.0,5.0
2058,1.0,4.0
2059,2.0,1.0
2060,1.0,6.0
2061,4.0,1.0
2062,1.0,4.0
2063,3.0,2.0
2064,1.0,5.0
2065,0.0,5.0
2066,4.0,3.0
2067,1.0,8.0
2068,3.0,7.0
2069,2.0,4.0
2070,0.0,5.0
2071,3.0,7.0
2072,1.0,3.0
2073,0.0,7.0
2074,1.0,1.0
2075,2.0,3.0
2076,0.0,6.0
2077,3.0,4.0
2078,2.0,2.0
2079,0.0,2.0
2080,4.0,3.0
2081,2.0,3.0
2082,3.0,7.0
2083,1.0,3.0
2084,1.0,2.0
2085,0.0,6.0
2086,4.0,4.0
2087,1.0,3.0
2088,2.0,3.0
2089,2.0,5.0
2090,0.0,3.0
2091,1.0,4.0
2092,2.0,2.0
2093,1.0,2.0
2094,1.0,8.0
2095,0.0,6.0
2096,0.0,4.0
2097,2.0,4.0
2098,4.0,3.0
2099,3.0,7.0
2100,1.0,3.0
