height_ft,height_m,fire,poli,hosp,nurs,schl,eoc,res11,res11b,res12,res12b,res2,res3,res3b,htl,com1,com2,com3,com4,com5,com7,com8,com9,com10,ind1,ind2,ind3,ind4,ind5,ind6,agr,rel,gov,elec,subs
-4,-1.2192,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-0.9144,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2
-2,-0.6096,0,0,0,0,0,0,0,14,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
-1,-0.3048,0,0,0,0,0,0,3,19,0,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,6
0,0,0,0,0,0,0,0,13,26,11,19,11,15,12,0,1,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,10,7
1,0.3048,7,7,0,7,5,7,23,32,12,21,44,16,15,3,9,5,9,11,11,11,9,2,3,10,9,13,10,13,22,6,10,5,12.5,8
2,0.6096,10,10,0,10,7,10,32,39,14,26,63,25,20,5,14,8,12,16,11,12,11,4,5,12,14,14,14,14,31,11,11,8,15,9
3,0.9144,11,11,20,14,9,11,40,46,18,29,73,28,23,6,16,11,13,22,12,13,12,5,6,15,17,19,18,19,37,15,11,13,17.5,10
4,1.2192,12,12,25,15,9,12,47,52,20,34,78,29,28,7,18,13,16,28,13,14,14,5,7,19,22,22,22,22,43,19,12,14,20,12
5,1.524,15,15,30,15,10,15,53,59,22,39,79,31,33,9,20,16,19,35,15,16,16,5,8,22,26,25,26,25,47,25,12,14,25,14
6,1.8288,17,17,35,16,11,17,59,65,24,44,81,40,37,12,23,19,22,38,17,17,18,6,10,26,30,28,34,28,50,30,13,15,30,15
7,2.1336,20,20,40,18,13,20,63,70,26,50,82,43,43,14,26,22,25,41,19,18,20,8,13,30,32,30,41,30,54,35,14,17,,
8,2.4384,23,23,43,20,15,23,67,74,30,55,83,43,48,18,30,25,28,44,22,20,22,10,17,35,35,33,42,33,57,41,14,19,,
9,2.7432,27,27,47,23,17,27,71,78,34,57,84,45,51,21,34,29,32,47,24,22,26,12,21,39,37,34,42,34,61,46,15,22,,
10,3.048,31,31,50,26,20,31,73,80,38,59,85,46,53,26,38,32,35,50,28,24,29,15,25,42,39,36,45,36,63,51,17,26,,
11,3.3528,35,35,53,30,24,35,75,81,39,61,86,47,55,31,42,37,39,54,31,27,33,20,30,48,43,39,47,39,64,57,19,31,,
12,3.6576,40,40,55,34,28,40,77,81,40,63,88,47,57,36,47,41,43,57,34,30,37,24,35,50,46,40,49,40,65,63,24,37,,
13,3.9624,44,44,57,38,33,44,79,81,42,65,89,49,59,41,51,45,47,59,37,34,41,29,41,51,48,42,50,42,67,70,30,44,,
14,4.2672,48,48,60,42,39,48,80,81,43,66,90,50,60,46,55,49,50,62,40,37,45,35,47,53,50,42,50,42,68,75,38,51,,
15,4.572,52,52,60,47,45,52,81,81,44,68,91,51,61,50,58,52,54,66,44,41,50,42,52,54,51,43,50,43,69,79,45,59,,
16,4.8768,56,56,60,52,52,56,81,81,45,69,92,52,62,54,61,55,57,68,48,44,53,49,58,55,54,43,50,43,70,82,52,65,,
17,5.1816,60,60,60,57,59,60,82,81,47,71,94,53,63,58,64,58,61,70,51,48,57,56,65,55,55,44,50,44,71,84,58,70,,
18,5.4864,64,64,60,62,64,64,82,81,48,72,95,54,64,62,67,61,64,72,55,51,60,62,71,56,57,44,50,44,72,87,64,74,,
19,5.7912,68,68,60,67,69,68,83,81,49,74,96,55,65,66,69,63,68,74,59,54,63,68,76,56,59,44,50,44,73,89,69,79,,
20,6.096,72,72,60,72,74,72,83,81,50,75,97,56,66,70,71,66,71,76,63,56,66,74,81,57,60,44,50,44,74,90,74,83,,
21,6.4008,76,76,60,77,79,76,83,81,52,77,98,57,67,74,74,68,75,77,67,59,69,80,86,57,62,44,50,44,75,92,78,87,,
22,6.7056,80,80,60,82,84,80,84,81,53,79,99,58,68,78,76,70,78,78,71,61,73,86,91,57,63,45,50,45,76,93,82,91,,
23,7.0104,84,84,60,87,89,84,84,81,54,80,100,59,69,82,78,71,82,79,75,64,76,92,96,58,65,45,50,45,76,95,85,95,,
24,7.3152,88,88,60,92,94,88,84,81,56,82,100,60,70,86,80,73,85,80,79,66,78,98,100,58,66,45,50,45,77,96,88,98,,
