,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.01001001,19733.41452,0,5276.83195,0,88918.10914,0,1122.135915,25607.39874,21431.60626,1156.717741,310.7930765,7279.474356,11964.8093,49884.01788,9735.227353,12358.12454,0,571849.4255
2,0.02002002,39466.82903,0,10553.6639,0,177836.2183,0,2244.271831,51214.79747,42863.21252,2313.435483,621.5861531,14558.94871,23929.61859,99768.03575,19470.45471,24716.24908,0,1143698.851
3,0.03003003,59200.24355,0,15830.49585,0,266754.3274,0,3366.407746,76822.19621,64294.81879,3470.153224,932.3792296,21838.42307,35894.42789,149652.0536,29205.68206,37074.37363,0,1715548.277
4,0.04004004,78933.65807,0,21107.3278,0,355672.4366,0,4488.543662,102429.5949,85726.42505,4626.870965,1243.172306,29117.89742,47859.23719,199536.0715,38940.90941,49432.49817,0,2287397.702
5,0.05005005,98667.07258,0,26384.15975,0,444590.5457,0,5610.679577,128036.9937,107158.0313,5783.588707,1553.965383,36397.37178,59824.04649,249420.0894,48676.13677,61790.62271,0,2859247.128
6,0.06006006,118400.4871,0,31660.9917,0,533508.6549,0,6732.815493,153644.3924,128589.6376,6940.306448,1864.758459,43676.84614,71788.85578,299304.1073,58411.36412,74148.74725,0,3431096.553
7,0.07007007,138133.9016,0,36937.82365,0,622426.764,0,7854.951408,179251.7912,150021.2438,8097.02419,2175.551536,50956.32049,83753.66508,349188.1251,68146.59147,86506.87179,0,4002945.979
8,0.08008008,157867.3161,0,42214.6556,0,711344.8731,0,8977.087324,204859.1899,171452.8501,9253.741931,2486.344612,58235.79485,95718.47438,399072.143,77881.81883,98864.99633,0,4574795.404
9,0.09009009,177600.7307,0,47491.48755,0,800262.9823,0,10099.22324,230466.5886,192884.4564,10410.45967,2797.137689,65515.26921,107683.2837,448956.1609,87617.04618,111223.1209,0,5146644.83
