subsection,shore_height,shore_height_wall,wall_height,div,length
0,2.396053133,2.396053133,0,0,100
1,2.26826746,2.26826746,0,0,100
2,2.240320683,2.240320683,0,0,100
3,2.512960844,2.512960844,0,0,100
4,2.429930705,2.429930705,0,0,100
5,2.336596727,2.336596727,0,0,100
6,2.40733099,2.40733099,0,0,100
7,2.282628008,2.282628008,0,0,100
8,2.318967828,2.318967828,0,0,100
9,2.336596727,2.336596727,0,1,100
10,2.336596727,2.336596727,0,1,100
11,2.336596727,2.336596727,0,1,100
12,2.336596727,2.336596727,0,1,100
13,2.332332162,2.332332162,0,1,100
14,2.719192266,2.719192266,0,1,100
15,2.333952612,2.333952612,0,1,100
16,2.410967946,2.410967946,0,1,100
17,2.892827952,2.892827952,0,1,100
18,2.569959017,2.569959017,0,2,100
19,2.623507463,2.623507463,0,2,100
20,2.529149132,2.529149132,0,2,100
21,2.533174579,2.533174579,0,2,100
22,2.487657176,2.487657176,0,2,100
23,2.458222458,2.458222458,0,2,100
24,2.184102442,2.184102442,0,2,100
25,2.083878689,2.083878689,0,2,100
26,2.002084392,2.002084392,0,2,100
27,2.000504012,2.000504012,0,3,100
28,1.94188963,1.94188963,0,3,100
29,3.694996632,3.694996632,0,3,100
30,3.842775398,3.842775398,0,3,100
31,3.766258776,3.766258776,0,3,100
32,3.941350001,3.941350001,0,3,100
33,3.708775222,3.708775222,0,3,100
34,3.58545043,3.58545043,0,3,100
35,3.243025942,3.243025942,0,3,100
36,3.397127271,3.397127271,0,4,100
37,2.866393366,2.866393366,0,4,100
38,3.014754305,3.014754305,0,4,100
39,1.9,1.852054965,0,4,100
40,1.9,1.826767802,0,4,100
41,3.045104911,3.045104911,0,4,100
42,2.278841257,2.278841257,0,4,100
43,1.9,1.885070608,0,4,100
44,1.9,1.865586038,0,4,100
45,2.142195101,2.142195101,0,5,100
46,2.411577463,2.411577463,0,5,100
47,1.9,1.850643885,0,5,100
48,1.9,1.826767802,0,5,100
49,1.9,1.5300734,0,5,100
50,2.02008827,2.02008827,0,5,100
51,1.9,1.416938287,0,5,100
52,2.557402317,2.557402317,0,5,100
53,2.344331942,2.344331942,0,5,100
54,2.421335566,2.421335566,0,6,100
55,3.100886653,3.100886653,0,6,100
56,2.491023614,2.491023614,0,6,100
57,2.184569331,2.184569331,0,6,100
58,2.126527089,2.126527089,0,6,100
59,2.382129247,2.382129247,0,6,100
60,2.020041577,2.020041577,0,6,100
61,1.9,1.816733427,0,6,100
62,2.045336464,2.045336464,0,6,100
63,2.175244721,2.175244721,0,7,100
64,2.13163571,2.13163571,0,7,100
65,2.614127312,2.614127312,0,7,100
66,1.90356979,1.90356979,0,7,100
67,2.548362448,2.548362448,0,7,100
68,2.340710291,2.340710291,0,7,100
69,2.010460615,2.010460615,0,7,100
70,2.010460615,2.010460615,0,7,100
71,2.010460615,2.010460615,0,7,100
72,2.03350129,2.03350129,0,9,100
73,2.638989429,2.638989429,0,9,100
74,2.205086927,2.205086927,0,9,100
75,1.9,1.836877867,0,9,100
76,2.065866688,2.065866688,0,9,100
77,2.374465621,2.374465621,0,9,100
78,2.016973516,2.016973516,0,9,100
79,2.290643787,2.290643787,0,9,100
80,2.545882764,2.545882764,0,9,100
81,2.88097222,2.88097222,0,10,100
82,2.392974501,2.392974501,0,10,100
83,2.414171298,2.414171298,0,10,100
84,2.525511026,2.525511026,0,10,100
85,2.558233833,2.558233833,0,10,100
86,2.560128575,2.560128575,0,10,100
87,2.550837308,2.550837308,0,10,100
88,2.797612449,2.797612449,0,10,100
89,2.218006139,2.218006139,0,10,100
90,2.56356868,2.56356868,0,11,100
91,1.9,1.844912726,0,11,100
92,1.920063882,1.920063882,0,11,100
93,2.123178105,2.123178105,0,11,100
94,2.133670563,2.133670563,0,11,100
95,2.007082921,2.007082921,0,11,100
96,1.987009461,1.987009461,0,11,100
97,2.28062837,2.28062837,0,11,100
98,2.413839777,2.413839777,0,11,100
99,2.580308051,2.580308051,0,12,100
100,1.9,1.513315837,0,12,100
101,1.9,1.464563966,0,12,100
102,2.708059931,2.708059931,0,12,100
103,2.589536529,2.589536529,0,12,100
104,2.38750515,2.38750515,0,12,100
105,2.458941432,2.458941432,0,12,100
106,2.039274559,2.039274559,0,12,100
107,2.151481609,2.151481609,0,12,100
108,2.173520307,2.173520307,0,13,100
109,3.960113943,3.960113943,0,13,100
110,3.036570023,3.036570023,0,13,100
111,2.533799813,2.533799813,0,13,100
112,3.504123895,3.504123895,0,13,100
113,3.079868555,3.079868555,0,13,100
114,2.304288008,2.304288008,0,13,100
115,2.54661612,2.54661612,0,13,100
116,2.665295017,2.665295017,0,13,100
117,3.880454941,3.880454941,0,14,100
118,2.984433594,2.984433594,0,14,100
119,2.291978763,2.291978763,0,14,100
120,2.349195213,2.349195213,0,14,100
121,1.9,1.636071851,0,14,100
122,2.023549435,2.023549435,0,14,100
123,2.00867597,2.00867597,0,14,100
124,2.382411661,2.382411661,0,14,100
125,2.712018951,2.712018951,0,14,100
126,3.069679006,3.069679006,0,15,100
127,2.623971279,2.623971279,0,15,100
128,3.198476911,3.198476911,0,15,100
129,2.444970117,2.444970117,0,15,100
130,1.9,1.87096405,0,15,100
131,3.606120091,3.606120091,0,15,100
132,3.274253769,3.274253769,0,15,100
133,3.437139766,3.437139766,0,15,100
134,3.047855677,3.047855677,0,15,100
135,3.561311887,3.561311887,0,16,100
136,3.733118658,3.733118658,0,16,100
137,3.158406716,3.158406716,0,16,100
138,3.861298552,3.861298552,0,16,100
139,3.67825593,3.67825593,0,16,100
140,1.9,1.532772761,0,16,100
141,1.9,1.401371406,0,16,100
142,1.9,1.40114934,0,16,100
143,1.9,1.627656298,0,16,100
144,1.9,1.685256753,0,17,100
145,1.9,1.549398697,0,17,100
146,2.0692873,2.0692873,0,17,100
147,2.0692873,2.0692873,0,17,100
148,2.060079226,2.060079226,0,17,100
149,2.199134741,2.199134741,0,17,100
150,2.0692873,2.0692873,0,17,100
151,1.9,1,0,17,100
152,1.9,1,0,17,100
153,1.9,1,0,18,100
154,1.9,1.025187876,0,18,100
155,2.585623083,2.585623083,0,18,100
156,1.9,1,0,18,100
157,1.9,1.882540217,0,18,100
158,1.902730925,1.902730925,0,18,100
159,1.9,1.826767802,0,18,100
160,2.032745012,2.032745012,0,18,100
161,2.41944015,2.41944015,0,18,100
