subsection,shore_height,shore_height_wall,wall_height,div,length
0,2.020041577,2.020041577,0,0,100
1,1.9,1,0,0,100
2,1.9,1.025187876,0,0,100
3,2.585623083,2.585623083,0,0,100
4,1.9,1,0,0,100
5,2.712018951,2.712018951,0,0,100
6,3.069679006,3.069679006,0,0,100
7,2.623971279,2.623971279,0,0,100
8,1.9,1.882540217,0,1,100
9,1.902730925,1.902730925,0,1,100
10,1.9,1.826767802,0,1,100
11,2.032745012,2.032745012,0,1,100
12,2.41944015,2.41944015,0,1,100
13,3.198476911,3.198476911,0,1,100
14,2.444970117,2.444970117,0,1,100
15,1.9,1.87096405,0,1,100
16,1.9,1.852054965,0,2,100
17,1.9,1.832089743,0,2,100
18,1.9,1.826767802,0,2,100
19,3.045104911,3.045104911,0,2,100
20,3.606120091,3.606120091,0,2,100
21,3.274253769,3.274253769,0,2,100
22,3.437139766,3.437139766,0,2,100
23,2.278841257,2.278841257,0,2,100
24,1.9,1.885070608,0,3,100
25,1.9,1.865586038,0,3,100
26,2.142195101,2.142195101,0,3,100
27,2.411577463,2.411577463,0,3,100
28,3.047855677,3.047855677,0,3,100
29,3.561311887,3.561311887,0,3,100
30,1.9,1.850643885,0,3,100
31,1.9,1.826767802,0,3,100
32,1.9,1.5300734,0,4,100
33,2.02008827,2.02008827,0,4,100
34,1.9,1.532772761,0,4,100
35,1.9,1.416938287,0,4,100
36,3.733118658,3.733118658,0,4,100
37,3.158406716,3.158406716,0,4,100
38,3.861298552,3.861298552,0,4,100
39,1.9,1.401371406,0,4,100
40,1.9,1.40114934,0,5,100
41,1.9,1.627656298,0,5,100
42,1.9,1.685256753,0,5,100
43,1.9,1.549398697,0,5,100
44,2.0692873,2.0692873,0,5,100
45,2.0692873,2.0692873,0,5,100
46,2.060079226,2.060079226,0,5,100
47,2.199134741,2.199134741,0,5,100
48,2.0692873,2.0692873,0,6,100
49,1.9,1,0,6,100
50,1.9,1,0,6,100
51,3.960113943,3.960113943,0,6,100
52,3.036570023,3.036570023,0,6,100
53,2.533799813,2.533799813,0,6,100
54,3.504123895,3.504123895,0,6,100
55,3.67825593,3.67825593,0,6,100
56,3.694996632,3.694996632,0,7,100
57,3.842775398,3.842775398,0,7,100
58,3.079868555,3.079868555,0,7,100
59,2.304288008,2.304288008,0,7,100
60,2.54661612,2.54661612,0,7,100
61,3.766258776,3.766258776,0,7,100
62,3.941350001,3.941350001,0,7,100
63,3.708775222,3.708775222,0,7,100
64,2.719192266,2.719192266,0,8,100
65,2.665295017,2.665295017,0,8,100
66,3.58545043,3.58545043,0,8,100
67,3.243025942,3.243025942,0,8,100
68,2.333952612,2.333952612,0,8,100
69,2.410967946,2.410967946,0,8,100
70,3.397127271,3.397127271,0,8,100
71,2.866393366,2.866393366,0,8,100
72,3.014754305,3.014754305,0,9,100
73,3.880454941,3.880454941,0,9,100
74,2.984433594,2.984433594,0,9,100
75,2.291978763,2.291978763,0,9,100
76,2.892827952,2.892827952,0,9,100
77,2.569959017,2.569959017,0,9,100
78,2.623507463,2.623507463,0,9,100
79,2.349195213,2.349195213,0,9,100
80,1.9,1.636071851,0,10,100
81,2.529149132,2.529149132,0,10,100
82,2.533174579,2.533174579,0,10,100
83,2.023549435,2.023549435,0,10,100
84,2.00867597,2.00867597,0,10,100
85,2.382411661,2.382411661,0,10,100
86,2.708059931,2.708059931,0,10,100
87,2.589536529,2.589536529,0,10,100
88,2.396053133,2.396053133,0,11,100
89,2.26826746,2.26826746,0,11,100
90,2.38750515,2.38750515,0,11,100
91,2.458941432,2.458941432,0,11,100
92,2.240320683,2.240320683,0,11,100
93,2.512960844,2.512960844,0,11,100
94,2.429930705,2.429930705,0,11,100
95,2.039274559,2.039274559,0,11,100
96,2.151481609,2.151481609,0,12,100
97,2.336596727,2.336596727,0,12,100
98,2.40733099,2.40733099,0,12,100
99,2.282628008,2.282628008,0,12,100
100,2.318967828,2.318967828,0,12,100
101,2.557402317,2.557402317,0,12,100
102,2.344331942,2.344331942,0,12,100
103,2.173520307,2.173520307,0,12,100
104,2.336596727,2.336596727,0,13,100
105,2.336596727,2.336596727,0,13,100
106,2.336596727,2.336596727,0,13,100
107,2.336596727,2.336596727,0,13,100
108,2.332332162,2.332332162,0,13,100
109,2.421335566,2.421335566,0,13,100
110,3.100886653,3.100886653,0,13,100
111,2.392974501,2.392974501,0,13,100
112,2.414171298,2.414171298,0,14,100
113,2.491023614,2.491023614,0,14,100
114,2.184569331,2.184569331,0,14,100
115,2.126527089,2.126527089,0,14,100
116,2.525511026,2.525511026,0,14,100
117,2.558233833,2.558233833,0,14,100
118,2.560128575,2.560128575,0,14,100
119,2.133670563,2.133670563,0,14,100
120,2.382129247,2.382129247,0,15,100
121,2.550837308,2.550837308,0,15,100
122,2.797612449,2.797612449,0,15,100
123,2.007082921,2.007082921,0,15,100
124,1.987009461,1.987009461,0,15,100
125,2.28062837,2.28062837,0,15,100
126,2.413839777,2.413839777,0,15,100
127,2.638989429,2.638989429,0,15,100
128,2.205086927,2.205086927,0,16,100
129,2.580308051,2.580308051,0,16,100
130,1.9,1.513315837,0,16,100
131,1.9,1.464563966,0,16,100
