,x,d
0,1.9,6248550251
1,1.95,5076300375
2,2,4675617450
3,2.05,4192149682
4,2.1,3760654078
5,2.15,3429366895
6,2.2,3137465564
7,2.25,2892704182
8,2.3,2680400581
9,2.35,2463582492
10,2.4,2292923336
11,2.45,2124203477
12,2.5,2002215337
13,2.55,1880960239
14,2.6,1752817015
15,2.65,1651154325
16,2.7,1569967184
17,2.75,1493278364
18,2.8,1426621136
19,2.85,1371455080
20,2.9,1316914245
21,2.95,1274917089
22,3,1235321248
23,3.05,1196178912
24,3.1,1166311164
25,3.15,1139951832
26,3.2,1116262675
27,3.25,1099388425
28,3.3,1087007519
29,3.35,1079306394
30,3.4,1073530134
31,3.45,1070808793
32,3.5,1072968065
33,3.55,1077583375
34,3.6,1084578632
35,3.65,1095145784
36,3.7,1106276740
37,3.75,1119530504
38,3.8,1136137046
39,3.85,1154672629
40,3.9,1173736285
41,3.95,1195357927
42,4,1218724202
43,4.05,1243668557
44,4.1,1269816699
45,4.15,1297352508
46,4.2,1325542851
47,4.25,1354236585
48,4.3,1383740614
49,4.35,1414014045
50,4.4,1445116711
51,4.45,1476905987
52,4.5,1509187316
53,4.55,1541848791
54,4.6,1574829269
55,4.65,1608122982
56,4.7,1641781123
57,4.75,1675617358
58,4.8,1709729499
59,4.85,1743938213
60,4.9,1778231157
61,4.95,1812835245
