,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.050505051,99564.04597,0,26624.01575,0,448632.2779,0,5661.685755,129200.9664,108132.1952,5836.166786,1568.092341,36728.25698,60367.90146,251687.5447,49118.6471,62352.35564,0,2885240.283
2,0.101010101,199128.0919,0,53248.0315,0,897264.5559,0,11323.37151,258401.9327,216264.3905,11672.33357,3136.184681,73456.51396,120735.8029,503375.0895,98237.2942,124704.7113,0,5770480.566
3,0.151515152,298692.1379,0,79872.04724,0,1345896.834,0,16985.05727,387602.8991,328472.3955,17508.50036,4704.277022,110184.7709,181103.7044,755062.6342,147355.9413,187057.0669,0,8655720.85
4,0.202020202,398256.1839,0,106496.063,0,1794760.653,0,22646.74302,516803.8654,442201.4053,23344.66714,6272.369363,146913.0279,241471.6058,1006750.179,196474.5884,249409.4226,0,11540961.13
5,0.252525253,497820.2299,0,133120.0787,0,2249839.781,0,28308.42878,646004.8318,555930.4152,29180.83393,7840.461704,183641.2849,301839.5073,1258437.724,245593.2355,311761.7782,0,14426201.42
6,0.303030303,597384.2758,0,159744.0945,0,2704918.91,0,33970.11453,775205.7981,669659.425,35017.00072,9408.554044,220369.5419,362207.4087,1510125.268,294711.8826,374114.1339,0,17311441.7
7,0.353535354,664923.2145,0,177804.4068,0,2969978.505,0,37810.70019,862848.843,742491.8988,38975.945,10472.26426,245284.0326,396685.2612,1572915.158,328031.3531,409725.3655,46096.26945,18124862.83
8,0.404040404,763017.8072,0,195553.7507,0,3228138.039,0,41585.15736,948982.8206,813839.3219,42866.72286,11517.65915,269769.5372,430222.9842,1628845.724,360777.1179,444365.563,430055.1993,18863051.26
9,0.454545455,868540.223,0,213303.0945,0,3486297.572,0,45359.61453,1035116.798,883893.5124,46757.50072,12563.05404,294255.0419,463760.7073,1684776.289,393522.8826,479005.7606,814014.1292,19601239.69
10,0.505050505,974062.6388,0,231052.4383,0,3744455.224,0,49134.0717,1121250.776,953375.3306,50648.27857,13608.44894,318740.5465,497298.4303,1740706.855,426268.6473,513645.9582,1197973.059,20339428.12
11,0.555555556,1079585.055,0,248801.7822,0,4000465.807,0,52908.52887,1207384.753,1022857.149,54539.05643,14653.84383,343226.0512,530836.1533,1796637.42,459014.4121,548286.1558,1581931.989,21077616.55
12,0.606060606,1185107.47,0,266551.126,0,4256476.39,0,56682.98604,1293518.731,1092338.967,58429.83429,15699.23873,367711.5558,564373.8764,1852567.986,491760.1768,582926.3534,1965890.919,21815804.99
13,0.656565657,1259767.687,0,276047.7349,0,4386087.569,0,58702.47161,1339603.854,1192739.177,60511.55607,16258.56681,380812.2802,579199.1598,1882493.076,509280.4708,598238.9834,2338969.066,22353351.26
14,0.707070707,1321986.463,0,284922.4068,0,4506173.121,0,60589.70019,1382670.843,1295469.438,62456.945,16781.26426,393055.0326,592614.249,1910458.358,525653.3531,612095.0624,2594941.686,22875776.88
15,0.757575758,1381272.068,0,293797.0787,0,4626258.673,0,62476.92878,1425737.832,1396971.838,64402.33393,17303.9617,405297.7849,606029.3382,1938423.641,542026.2355,625951.1415,2850914.306,23398202.51
16,0.808080808,1440557.674,0,302671.7507,0,4746344.225,0,64364.15736,1468804.821,1497836.494,66347.72286,17826.65915,417540.5372,619444.4274,1966388.924,558399.1179,639807.2205,3106886.925,23920628.13
17,0.858585859,1499843.279,0,311546.4226,0,4864354.245,0,66251.38595,1511871.809,1598701.15,68293.11179,18349.3566,429783.2895,632859.5166,1994354.207,574772.0002,653663.2995,3362859.545,24443053.75
18,0.909090909,1559128.885,0,320421.0945,0,4982290.847,0,68138.61453,1554938.798,1699565.806,70238.50072,18872.05404,442026.0419,646274.6058,2022319.489,591144.8826,667519.3786,3618832.165,24965479.37
19,0.95959596,1618414.49,0,329295.7664,0,5086932.075,0,70025.84312,1598005.787,1732784.849,72183.88964,19394.75149,454268.7942,659689.695,2075310.344,607517.765,681375.4576,3868408.643,25592999.37
20,1.01010101,1668041.701,0,338170.4383,0,5190011.519,0,71913.0717,1641072.776,1758057.678,74129.27857,19917.44894,466511.5465,673104.7842,2131240.91,623890.6473,695231.5366,3996394.952,26232864.62
21,1.060606061,1714278.511,0,347045.1102,0,5293090.963,0,73800.30029,1704944.666,1783330.507,76074.6675,20440.14639,478754.2989,686519.8735,2187171.475,640263.5297,709087.6157,4124381.262,26872729.88
22,1.111111111,1760515.322,0,355919.7822,0,5396170.407,0,75687.52887,1816034.899,1808603.336,78020.05643,20962.84383,490997.0512,699934.9627,2243102.041,656636.4121,722943.6947,4252367.572,27512595.13
23,1.161616162,1806752.132,0,364794.4541,0,5499249.851,0,77574.75746,1927125.132,1833876.166,79965.44536,21485.54128,503239.8035,713350.0519,2299032.606,673009.2944,736799.7737,4380353.882,28152460.38
24,1.212121212,1852988.942,0,373669.126,0,5602329.294,0,79461.98604,2038215.365,1859148.995,81910.83429,22008.23873,515482.5558,726765.1411,2354963.172,689382.1768,750655.8528,4508340.192,28792325.64
25,1.262626263,1899225.753,0,382543.7979,0,5702215.043,0,81349.21463,2149305.598,1868172.605,83856.22322,22530.93617,527725.3082,740180.2303,2410893.737,705755.0592,764511.9318,4636326.502,29394522.19
26,1.313131313,1945462.563,0,391418.4698,0,5801580.198,0,83236.44321,2260395.831,1874547.478,85801.61215,23053.63362,539968.0605,753595.3195,2466824.303,722127.9415,778368.0108,4764312.812,29990578.47
27,1.363636364,1991699.373,0,400293.1417,0,5900945.352,0,85123.6718,2365345.608,1880922.35,87747.00107,23576.33107,552210.8128,767010.4087,2522754.868,738500.8239,792224.0899,4892299.122,30586634.75
28,1.414141414,2037936.184,0,409167.8136,0,6000310.506,0,87010.90038,2453761.427,1887297.223,89692.39,24099.02851,564453.5651,780425.4979,2578685.434,754873.7063,806080.1689,5022592.213,31182691.03
29,1.464646465,2084172.994,0,418042.4856,0,6099675.661,0,88898.12897,2542177.245,1893672.096,91637.77893,24621.72596,576696.3175,793840.5872,2634615.999,771246.5886,819936.2479,5233148.306,31778747.31
30,1.515151515,2130409.805,0,426917.1575,0,6199040.815,0,93962.10722,2630593.063,1900046.968,93583.16786,25144.42341,588939.0698,807255.6764,2690546.565,787619.471,833792.327,5480321.773,32374803.59
