subsection,shore_height,shore_height_wall,wall_height,div
0,2.020041577,2.020041577,0,0
1,1.9,1,0,0
2,1.9,1.025187876,0,0
3,2.585623083,2.585623083,0,0
4,1.9,1,0,0
5,2.712018951,2.712018951,0,0
6,3.069679006,3.069679006,0,0
7,2.623971279,2.623971279,0,0
8,1.9,1.882540217,0,1
9,1.902730925,1.902730925,0,1
10,1.9,1.826767802,0,1
11,2.032745012,2.032745012,0,1
12,2.41944015,2.41944015,0,1
13,3.198476911,3.198476911,0,1
14,2.444970117,2.444970117,0,1
15,1.9,1.87096405,0,1
16,1.9,1.852054965,0,2
17,1.9,1.832089743,0,2
18,1.9,1.826767802,0,2
19,3.045104911,3.045104911,0,2
20,3.606120091,3.606120091,0,2
21,3.274253769,3.274253769,0,2
22,3.437139766,3.437139766,0,2
23,2.278841257,2.278841257,0,2
24,1.9,1.885070608,0,3
25,1.9,1.865586038,0,3
26,2.142195101,2.142195101,0,3
27,2.411577463,2.411577463,0,3
28,3.047855677,3.047855677,0,3
29,3.561311887,3.561311887,0,3
30,1.9,1.850643885,0,3
31,1.9,1.826767802,0,3
32,1.9,1.5300734,0,4
33,2.02008827,2.02008827,0,4
34,1.9,1.532772761,0,4
35,1.9,1.416938287,0,4
36,3.733118658,3.733118658,0,4
37,3.158406716,3.158406716,0,4
38,3.861298552,3.861298552,0,4
39,1.9,1.401371406,0,4
40,1.9,1.40114934,0,5
41,1.9,1.627656298,0,5
42,1.9,1.685256753,0,5
43,1.9,1.549398697,0,5
44,2.0692873,2.0692873,0,5
45,2.0692873,2.0692873,0,5
46,2.060079226,2.060079226,0,5
47,2.199134741,2.199134741,0,5
48,2.0692873,2.0692873,0,6
49,1.9,1,0,6
50,1.9,1,0,6
51,3.960113943,3.960113943,0,6
52,3.036570023,3.036570023,0,6
53,2.533799813,2.533799813,0,6
54,3.504123895,3.504123895,0,6
55,3.67825593,3.67825593,0,6
56,3.694996632,3.694996632,0,7
57,3.842775398,3.842775398,0,7
58,3.079868555,3.079868555,0,7
59,2.304288008,2.304288008,0,7
60,2.54661612,2.54661612,0,7
61,3.766258776,3.766258776,0,7
62,3.941350001,3.941350001,0,7
63,3.708775222,3.708775222,0,7
64,2.719192266,2.719192266,0,8
65,2.665295017,2.665295017,0,8
66,3.58545043,3.58545043,0,8
67,3.243025942,3.243025942,0,8
68,2.333952612,2.333952612,0,8
69,2.410967946,2.410967946,0,8
70,3.397127271,3.397127271,0,8
71,2.866393366,2.866393366,0,8
72,3.014754305,3.014754305,0,9
73,3.880454941,3.880454941,0,9
74,2.984433594,2.984433594,0,9
75,2.291978763,2.291978763,0,9
76,2.892827952,2.892827952,0,9
77,2.569959017,2.569959017,0,9
78,2.623507463,2.623507463,0,9
79,2.349195213,2.349195213,0,9
80,1.9,1.636071851,0,10
81,2.529149132,2.529149132,0,10
82,2.533174579,2.533174579,0,10
83,2.023549435,2.023549435,0,10
84,2.00867597,2.00867597,0,10
85,2.382411661,2.382411661,0,10
86,2.708059931,2.708059931,0,10
87,2.589536529,2.589536529,0,10
88,2.396053133,2.396053133,0,11
89,2.26826746,2.26826746,0,11
90,2.38750515,2.38750515,0,11
91,2.458941432,2.458941432,0,11
92,2.240320683,2.240320683,0,11
93,2.512960844,2.512960844,0,11
94,2.429930705,2.429930705,0,11
95,2.039274559,2.039274559,0,11
96,2.151481609,2.151481609,0,12
97,2.336596727,2.336596727,0,12
98,2.40733099,2.40733099,0,12
99,2.282628008,2.282628008,0,12
100,2.318967828,2.318967828,0,12
101,2.557402317,2.557402317,0,12
102,2.344331942,2.344331942,0,12
103,2.173520307,2.173520307,0,12
104,2.336596727,2.336596727,0,13
105,2.336596727,2.336596727,0,13
106,2.336596727,2.336596727,0,13
107,2.336596727,2.336596727,0,13
108,2.332332162,2.332332162,0,13
109,2.421335566,2.421335566,0,13
110,3.100886653,3.100886653,0,13
111,2.392974501,2.392974501,0,13
112,2.414171298,2.414171298,0,14
113,2.491023614,2.491023614,0,14
114,2.184569331,2.184569331,0,14
115,2.126527089,2.126527089,0,14
116,2.525511026,2.525511026,0,14
117,2.558233833,2.558233833,0,14
118,2.560128575,2.560128575,0,14
119,2.133670563,2.133670563,0,14
120,2.382129247,2.382129247,0,15
121,2.550837308,2.550837308,0,15
122,2.797612449,2.797612449,0,15
123,2.007082921,2.007082921,0,15
124,1.987009461,1.987009461,0,15
125,2.28062837,2.28062837,0,15
126,2.413839777,2.413839777,0,15
127,2.638989429,2.638989429,0,15
128,2.205086927,2.205086927,0,16
129,2.580308051,2.580308051,0,16
130,1.9,1.513315837,0,16
131,1.9,1.464563966,0,16
132,1.9,1.836877867,0,16
133,2.065866688,2.065866688,0,16
134,2.374465621,2.374465621,0,16
135,2.016973516,2.016973516,0,16
136,2.290643787,2.290643787,0,17
137,2.218006139,2.218006139,0,17
138,2.56356868,2.56356868,0,17
139,2.545882764,2.545882764,0,17
140,2.88097222,2.88097222,0,17
141,1.9,1.844912726,0,17
142,1.920063882,1.920063882,0,17
143,2.614127312,2.614127312,0,17
144,1.90356979,1.90356979,0,17
